Comment,Designator,Footprint,LCSC
20pF,"C2,C3",C_0402_1005Metric,C107000
~,U1,QFP-100_L14.0-W14.0-P0.50-LS16.0-BL,C114409
25MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL,C13740
1uF,"C1,C5",C_0402_1005Metric,C14445
2.2uF,"C10,C12",C_0402_1005Metric,C170151
100,R2,R_0402_1005Metric,C25076
10k,"R1,R5,R6",R_0402_1005Metric,C25744
5.1k,"R3,R4",R_0402_1005Metric,C25905
~,USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
~,U2,LGA-14L_L3.0-W2.5-P0.50-TL,C2829074
~,U5,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,C347222
4.7uF,C4,C_0402_1005Metric,C368809
~,CARD1,TF-SMD_TF-PUSH,C393941
100nF,"C11,C13,C14,C15,C16,C17,C23,C25,C26,C27,C28,C6,C7,C8,C9",C_0402_1005Metric,C60474
~,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477
10uF,"C22,C24",C_0402_1005Metric,C77000
~,U6,SENSORM-SMD_BMP388,C779278
green_led,D1,LED_0603_1608Metric,C965799
