Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,139.446,-89.154,180.0,top
C10,2.2uF,C_0402_1005Metric,122.428,-101.6,90.0,top
C11,100nF,C_0402_1005Metric,136.144,-88.138,180.0,top
C12,2.2uF,C_0402_1005Metric,135.89,-107.188,180.0,top
C13,100nF,C_0402_1005Metric,137.894,-107.188,180.0,top
C14,100nF,C_0402_1005Metric,141.732,-91.948,-90.0,top
C15,100nF,C_0402_1005Metric,144.272,-98.044,0.0,top
C16,100nF,C_0402_1005Metric,144.272,-102.616,0.0,top
C17,100nF,C_0402_1005Metric,141.478,-94.742,-90.0,top
C2,20pF,C_0402_1005Metric,134.902,-84.582,0.0,top
C22,10uF,C_0402_1005Metric,147.32,-92.456,-90.0,top
C23,100nF,C_0402_1005Metric,148.59,-92.456,-90.0,top
C24,10uF,C_0402_1005Metric,149.86,-92.456,-90.0,top
C25,100nF,C_0402_1005Metric,151.13,-92.456,-90.0,top
C26,100nF,C_0402_1005Metric,141.252,-110.236,180.0,top
C27,100nF,C_0402_1005Metric,154.432,-100.556,90.0,top
C28,100nF,C_0402_1005Metric,143.538,-92.964,0.0,top
C3,20pF,C_0402_1005Metric,129.032,-85.852,90.0,top
C4,4.7uF,C_0402_1005Metric,134.846,-86.614,180.0,top
C5,1uF,C_0402_1005Metric,130.556,-88.392,180.0,top
C6,100nF,C_0402_1005Metric,122.174,-103.632,90.0,top
C7,100nF,C_0402_1005Metric,128.524,-88.392,0.0,top
C8,100nF,C_0402_1005Metric,123.952,-90.678,0.0,top
C9,100nF,C_0402_1005Metric,134.084,-88.138,0.0,top
CARD1,~,TF-SMD_TF-PUSH,161.694,-98.35,90.0,top
D1,green_led,LED_0603_1608Metric,140.462,-84.328,90.0,top
R1,10k,R_0402_1005Metric,127.762,-110.998,90.0,top
R2,100,R_0402_1005Metric,141.986,-84.328,-90.0,top
R3,5.1k,R_0402_1005Metric,153.924,-90.676,-90.0,top
R4,5.1k,R_0402_1005Metric,155.194,-90.68,-90.0,top
R5,10k,R_0402_1005Metric,132.844,-110.236,0.0,top
R6,10k,R_0402_1005Metric,135.634,-110.236,180.0,top
SW1,~,SW-SMD_L3.9-W3.0-P4.45,130.048,-111.252,90.0,top
U1,~,QFP-100_L14.0-W14.0-P0.50-LS16.0-BL,132.08,-97.79,180.0,top
U2,~,LGA-14L_L3.0-W2.5-P0.50-TL,143.268,-100.235,90.0,top
U5,~,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,148.082,-87.122,-90.0,top
U6,~,SENSORM-SMD_BMP388,143.401,-94.738,90.0,top
USB1,~,USB-C-SMD_TYPE-C-6PIN-2MD-073,156.972,-85.2415,180.0,top
X1,25MHz,OSC-SMD_4P-L3.2-W2.5-BL,131.742,-85.739,0.0,top
